combination_id,mean_ari,std_ari,gamma,kappa,graph_corr,dropout,residual_weight,ari_151669,ari_151670,ari_151671,ari_151672,ari_151673,ari_151674,ari_151675,ari_151676,ari_151507,ari_151508,ari_151509,ari_151510
10,0.5020407627695315,0.14496626471240304,0.5,0.5,0.5,0.5,0.3,0.22477320254013103,0.28048927389839073,0.6114674205017051,0.7772175054837741,0.6122557664602752,0.4548884222511541,0.5868806100802626,0.40516941685642704,0.5183745036257074,0.5762049862863745,0.4616339228349458,0.5151341224152292
34,0.4901428492590097,0.1310981482662966,1.0,1.0,0.3,0.5,0.1,0.20248146284144877,0.3579935954817501,0.5996222978138129,0.7525286733921068,0.5757271138781882,0.4375793712074109,0.5804397803894743,0.41520694662544383,0.5072841554821361,0.499277667949386,0.4593859312983253,0.49418719474863376
28,0.48719947857130497,0.12720360573231893,2.0,0.5,0.5,0.3,0.1,0.20948147493939845,0.3835911498604759,0.6149742272305986,0.7571176050024053,0.5453551576963653,0.44018258666541266,0.5017330317926084,0.38921679279747523,0.5163954584952816,0.4830861758125297,0.4889388033721911,0.5163212791909172
4,0.4867335137606769,0.08564316797348795,2.0,1.0,0.3,0.1,0.1,0.37385407393251735,0.37529824505539366,0.5989994353068794,0.5730741417994127,0.5036096414041191,0.37446998105563867,0.5723990755358805,0.6047029915219831,0.5080358059589756,0.4387277725983002,0.5053914493295701,0.41223955162945186
11,0.4855227971269329,0.13292392789648566,2.0,0.5,0.4,0.1,0.3,0.21127418697683273,0.3817568998150501,0.5990998516845698,0.7578717306777515,0.541299594619938,0.4122595172833617,0.46441678801886277,0.6044796936346661,0.4945688549777237,0.3869104405724799,0.5413498393051404,0.43098616795681804
15,0.48397606297129964,0.07773700925423634,0.5,0.5,0.5,0.3,0.2,0.36479228280860526,0.3798825638756809,0.6084074086172346,0.5562134816443636,0.5617291568364862,0.4204629490963646,0.5852956428905967,0.42700651969647674,0.47940698366425716,0.4908686131663464,0.5023723612462307,0.4312747921129532
8,0.48299762780847844,0.14634106452263085,0.5,1.0,0.3,0.5,0.3,0.22785534684140424,0.21537605756088352,0.6068524891881464,0.7459048571655025,0.5103496183824795,0.4885940912476749,0.5747887279574477,0.4040800650075504,0.512519394610509,0.5736056029810677,0.3943799915103848,0.5416652912486908
20,0.47721444948258956,0.10630878096331862,0.5,0.5,0.5,0.3,0.3,0.20881918659442666,0.3885427137091709,0.6031492239417268,0.5551208643609382,0.6085326240347791,0.4330869029088972,0.5150487403150622,0.42053903997416525,0.5286359715106365,0.5383238516637016,0.5033549502734366,0.42341932450413416
35,0.47344289374377263,0.10886966772030963,1.0,2.0,0.4,0.5,0.1,0.2064584822063253,0.35762439556745124,0.5921335774651454,0.5720016647750983,0.45770394030381883,0.4490916825778417,0.5147179674841175,0.5862960392667089,0.5360187430244427,0.5396298930712294,0.374922825438374,0.4947155137447194
27,0.4733606487516069,0.14077479807282786,0.5,1.0,0.5,0.3,0.3,0.1994354160666414,0.2644115878514911,0.5910356770848495,0.7491073447716944,0.48445521780171313,0.3964364188345107,0.5866082784742856,0.43519129751714947,0.5125964121648579,0.5356249570028981,0.5031274761922633,0.42229770125692795
29,0.46936524791214446,0.10187803789595398,2.0,0.5,0.3,0.3,0.2,0.37033550818814337,0.25471498490527006,0.6175424156360435,0.5794384300487797,0.6028378998430838,0.37047916173819195,0.4904986885387096,0.4165968698770141,0.5213676681192855,0.4604894067836913,0.45231398128023337,0.49576795998728784
